Entity,Code,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))","Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Afghanistan,AFG,2002,2.7,11.3
Albania,ALB,1987,5.49,35.32
Albania,ALB,1988,6.3,37.78
Albania,ALB,1989,4.01,32.58
Albania,ALB,1992,5.12,27.77
Albania,ALB,1993,4.79,25.43
Albania,ALB,1994,5.09,21.83
Albania,ALB,1995,5.79,33.68
Albania,ALB,1996,7.8,35.57
Albania,ALB,1997,7.62,35.98
Albania,ALB,1998,7.84,34.84
Albania,ALB,1999,7.38,34.67
Albania,ALB,2000,6.4,31.48
Albania,ALB,2001,5.88,27.91
Albania,ALB,2002,8.1,29.44
Algeria,DZA,2002,2,16.4
Angola,AGO,2002,1.3,7
Argentina,ARG,1966,5.17,41.07
Argentina,ARG,1967,5.56,47.2
Argentina,ARG,1968,6.7,48.19
Argentina,ARG,1969,6.32,48.67
Argentina,ARG,1970,5.94,46.7
Argentina,ARG,1977,5.54,43.79
Argentina,ARG,1978,5.55,44.01
Argentina,ARG,1979,5.28,43.09
Argentina,ARG,1980,5.21,42.9
Argentina,ARG,1981,5.38,44.55
Argentina,ARG,1982,5.51,40.52
Argentina,ARG,1983,5.51,42.38
Argentina,ARG,1984,5.84,41.26
Argentina,ARG,1985,5.35,40.63
Argentina,ARG,1986,5.26,39.5
Argentina,ARG,1987,5.34,41.39
Argentina,ARG,1988,5.88,40.09
Argentina,ARG,1989,5.83,39.64
Argentina,ARG,1990,5.83,38.03
Argentina,ARG,1991,6.26,39.35
Argentina,ARG,1992,6.2,38.01
Argentina,ARG,1993,6.38,37.77
Argentina,ARG,1994,6.42,37.88
Argentina,ARG,1995,6.29,36.8
Argentina,ARG,1996,6.46,36.97
Argentina,ARG,1997,6.5,36
Argentina,ARG,1998,7.09,35.99
Argentina,ARG,1999,7.05,36.12
Argentina,ARG,2000,6.73,34.74
Argentina,ARG,2001,6.95,32.92
Argentina,ARG,2002,7.08,31.87
Armenia,ARM,1981,4.09,33.01
Armenia,ARM,1982,4.9,32.88
Armenia,ARM,1985,5.56,37.62
Armenia,ARM,1986,6.23,36.7
Armenia,ARM,1987,5.42,35.42
Armenia,ARM,1988,6.04,42.55
Armenia,ARM,1989,5.89,40.83
Armenia,ARM,1990,6.38,45.98
Armenia,ARM,1991,5.66,48.04
Armenia,ARM,1992,7.1,44.8
Armenia,ARM,1993,6.55,41.34
Armenia,ARM,1994,5.75,37.81
Armenia,ARM,1995,4.49,39.8
Armenia,ARM,1996,4.55,41.01
Armenia,ARM,1997,4.83,43.91
Armenia,ARM,1998,5.58,41.45
Armenia,ARM,1999,5.28,45.09
Armenia,ARM,2000,6.39,45.54
Armenia,ARM,2001,6.2,46.71
Armenia,ARM,2002,5.96,45.62
Australia,AUS,1950,2.78,13.83
Australia,AUS,1951,2.98,14.91
