Scenario,Area,Year,Age,Education,Population
SSP2,World,1950,All,Total,2541292.5
SSP2,World,1955,All,Total,2777546.2
SSP2,World,1960,All,Total,3040022.5
SSP2,World,1965,All,Total,3347595.4
SSP2,World,1970,All,Total,3710412.1
SSP2,World,1975,All,Total,4091086.9
SSP2,World,1980,All,Total,4473136.1
SSP2,World,1985,All,Total,4891516.4
SSP2,World,1990,All,Total,5334971.5
SSP2,World,1995,All,Total,5756824.2
SSP2,World,2000,All,Total,6152490.5
SSP2,World,2005,All,Total,6549895.9
SSP2,World,2010,All,Total,6972709.2
SSP2,World,2015,All,Total,7383000
SSP2,World,2020,All,Total,7776237
SSP2,World,2025,All,Total,8137983
SSP2,World,2030,All,Total,8460573
SSP2,World,2035,All,Total,8746332
SSP2,World,2040,All,Total,8996130
SSP2,World,2045,All,Total,9209394
SSP2,World,2050,All,Total,9382942
SSP2,World,2055,All,Total,9514289
SSP2,World,2060,All,Total,9604723
SSP2,World,2065,All,Total,9658329
SSP2,World,2070,All,Total,9679450
SSP2,World,2075,All,Total,9671372
SSP2,World,2080,All,Total,9636121
SSP2,World,2085,All,Total,9576094
SSP2,World,2090,All,Total,9494484
SSP2,World,2095,All,Total,9394598
SSP2,World,2100,All,Total,9277761
SSP2,World,1950,0--4,Total,338387.2
SSP2,World,1955,0--4,Total,405612.1
SSP2,World,1960,0--4,Total,432642.8
SSP2,World,1965,0--4,Total,480601
SSP2,World,1970,0--4,Total,523700.8
SSP2,World,1975,0--4,Total,543302
SSP2,World,1980,0--4,Total,548178.6
SSP2,World,1985,0--4,Total,592792.3
SSP2,World,1990,0--4,Total,644867.3
SSP2,World,1995,0--4,Total,623061.1
SSP2,World,2000,0--4,Total,609348.4
SSP2,World,2005,0--4,Total,623820.4
SSP2,World,2010,0--4,Total,651602.4
SSP2,World,2015,0--4,Total,673658.6
SSP2,World,2020,0--4,Total,660357.4
SSP2,World,2025,0--4,Total,650509.8
SSP2,World,2030,0--4,Total,635370.9
SSP2,World,2035,0--4,Total,624871.7
SSP2,World,2040,0--4,Total,617520.8
SSP2,World,2045,0--4,Total,609078.7
SSP2,World,2050,0--4,Total,595551
SSP2,World,2055,0--4,Total,577338.2
SSP2,World,2060,0--4,Total,557014.6
SSP2,World,2065,0--4,Total,537591.3
SSP2,World,2070,0--4,Total,520243.1
SSP2,World,2075,0--4,Total,504342.3
SSP2,World,2080,0--4,Total,488238.5
SSP2,World,2085,0--4,Total,470732.2
SSP2,World,2090,0--4,Total,452125
SSP2,World,2095,0--4,Total,433627.5
SSP2,World,2100,0--4,Total,415934.3
SSP2,World,1950,5--9,Total,269870.1
SSP2,World,1955,5--9,Total,315829.2
SSP2,World,1960,5--9,Total,382144.6
SSP2,World,1965,5--9,Total,409585.3
SSP2,World,1970,5--9,Total,460552.3
SSP2,World,1975,5--9,Total,504504.7
SSP2,World,1980,5--9,Total,525955.3
SSP2,World,1985,5--9,Total,532911.8
SSP2,World,1990,5--9,Total,578146.3
SSP2,World,1995,5--9,Total,631533.7
SSP2,World,2000,5--9,Total,611810.8
SSP2,World,2005,5--9,Total,600036
SSP2,World,2010,5--9,Total,615729.6
SSP2,World,2015,5--9,Total,644481.9
SSP2,World,2020,5--9,Total,667091
SSP2,World,2025,5--9,Total,654361.6
SSP2,World,2030,5--9,Total,645054.7
SSP2,World,2035,5--9,Total,630401.8
SSP2,World,2040,5--9,Total,620351.4
SSP2,World,2045,5--9,Total,613452.9
SSP2,World,2050,5--9,Total,605474.6
SSP2,World,2055,5--9,Total,592400.5
SSP2,World,2060,5--9,Total,574616.6
SSP2,World,2065,5--9,Total,554684.4
SSP2,World,2070,5--9,Total,535606
SSP2,World,2075,5--9,Total,518577.3
SSP2,World,2080,5--9,Total,502965.1
SSP2,World,2085,5--9,Total,487092
SSP2,World,2090,5--9,Total,469782.8
SSP2,World,2095,5--9,Total,451330.1
SSP2,World,2100,5--9,Total,432945.4
SSP2,World,1950,10--14,Total,260587.3
SSP2,World,1955,10--14,Total,263322.7
SSP2,World,1960,10--14,Total,309899.8
SSP2,World,1965,10--14,Total,374595.6
SSP2,World,1970,10--14,Total,404504.8
SSP2,World,1975,10--14,Total,454876.1
SSP2,World,1980,10--14,Total,499666.9
SSP2,World,1985,10--14,Total,521394.6
SSP2,World,1990,10--14,Total,529014.5
SSP2,World,1995,10--14,Total,575086.8
SSP2,World,2000,10--14,Total,628087.4
SSP2,World,2005,10--14,Total,609061.9
SSP2,World,2010,10--14,Total,597092.1
SSP2,World,2015,10--14,Total,612408.9
SSP2,World,2020,10--14,Total,641434.5
SSP2,World,2025,10--14,Total,664151.4
SSP2,World,2030,10--14,Total,651665.6
SSP2,World,2035,10--14,Total,642575.9
SSP2,World,2040,10--14,Total,628126.1
SSP2,World,2045,10--14,Total,618265.9
SSP2,World,2050,10--14,Total,611565.4
SSP2,World,2055,10--14,Total,603792
SSP2,World,2060,10--14,Total,590921.4
SSP2,World,2065,10--14,Total,573332.4
SSP2,World,2070,10--14,Total,553581
SSP2,World,2075,10--14,Total,534667.4
SSP2,World,2080,10--14,Total,517789.3
SSP2,World,2085,10--14,Total,502303.9
SSP2,World,2090,10--14,Total,486537.1
SSP2,World,2095,10--14,Total,469312.2
SSP2,World,2100,10--14,Total,450930.2
SSP2,World,1950,15--19,Total,239371.6
SSP2,World,1955,15--19,Total,255288.5
SSP2,World,1960,15--19,Total,258356.1
SSP2,World,1965,15--19,Total,304819.3
SSP2,World,1970,15--19,Total,370000.1
SSP2,World,1975,15--19,Total,399665.5
SSP2,World,1980,15--19,Total,451657.8
SSP2,World,1985,15--19,Total,496128.7
SSP2,World,1990,15--19,Total,518619.5
SSP2,World,1995,15--19,Total,525597.3
SSP2,World,2000,15--19,Total,571564.1
SSP2,World,2005,15--19,Total,624885.7
SSP2,World,2010,15--19,Total,610179
SSP2,World,2015,15--19,Total,593567.5
SSP2,World,2020,15--19,Total,609605.2
SSP2,World,2025,15--19,Total,638612.3
SSP2,World,2030,15--19,Total,661410.5
SSP2,World,2035,15--19,Total,649215.6
SSP2,World,2040,15--19,Total,640178
SSP2,World,2045,15--19,Total,625967.4
SSP2,World,2050,15--19,Total,616282.8
SSP2,World,2055,15--19,Total,609648.4
SSP2,World,2060,15--19,Total,602220.3
SSP2,World,2065,15--19,Total,589565.2
SSP2,World,2070,15--19,Total,572172.6
SSP2,World,2075,15--19,Total,552558.3
SSP2,World,2080,15--19,Total,533779.2
SSP2,World,2085,15--19,Total,516961.2
SSP2,World,2090,15--19,Total,501491
SSP2,World,2095,15--19,Total,485900.7
SSP2,World,2100,15--19,Total,468770.1
SSP2,World,1950,20--24,Total,222877.4
SSP2,World,1955,20--24,Total,232656.7
SSP2,World,1960,20--24,Total,249011.6
SSP2,World,1965,20--24,Total,252568.7
SSP2,World,1970,20--24,Total,298689.3
SSP2,World,1975,20--24,Total,364044.1
SSP2,World,1980,20--24,Total,394650.8
SSP2,World,1985,20--24,Total,446412.7
SSP2,World,1990,20--24,Total,490313.5
SSP2,World,1995,20--24,Total,511297.2
SSP2,World,2000,20--24,Total,518871.5
SSP2,World,2005,20--24,Total,565087.2
SSP2,World,2010,20--24,Total,617360
SSP2,World,2015,20--24,Total,600900.7
SSP2,World,2020,20--24,Total,589439.5
SSP2,World,2025,20--24,Total,605679.9
SSP2,World,2030,20--24,Total,634746.1
SSP2,World,2035,20--24,Total,657723.7
SSP2,World,2040,20--24,Total,645780.7
SSP2,World,2045,20--24,Total,636938
SSP2,World,2050,20--24,Total,623012.2
SSP2,World,2055,20--24,Total,613482.3
SSP2,World,2060,20--24,Total,607046.9
SSP2,World,2065,20--24,Total,600017.5
SSP2,World,2070,20--24,Total,587548.2
SSP2,World,2075,20--24,Total,570399.6
SSP2,World,2080,20--24,Total,551018.7
SSP2,World,2085,20--24,Total,532495.8
SSP2,World,2090,20--24,Total,515733.5
SSP2,World,2095,20--24,Total,500321.7
SSP2,World,2100,20--24,Total,485028.8
SSP2,World,1950,25--29,Total,196361.5
SSP2,World,1955,25--29,Total,215994
SSP2,World,1960,25--29,Total,226828.3
SSP2,World,1965,25--29,Total,243384.1
SSP2,World,1970,25--29,Total,247601.5
SSP2,World,1975,25--29,Total,294598.4
SSP2,World,1980,25--29,Total,358753.1
SSP2,World,1985,25--29,Total,389821.6
SSP2,World,1990,25--29,Total,440713.4
SSP2,World,1995,25--29,Total,484088.1
SSP2,World,2000,25--29,Total,505218.4
SSP2,World,2005,25--29,Total,513287.6
SSP2,World,2010,25--29,Total,559977.6
SSP2,World,2015,25--29,Total,612500.9
SSP2,World,2020,25--29,Total,596092.2
SSP2,World,2025,25--29,Total,584737.8
SSP2,World,2030,25--29,Total,601277.1
SSP2,World,2035,25--29,Total,630350.7
SSP2,World,2040,25--29,Total,653462.5
SSP2,World,2045,25--29,Total,641849.1
SSP2,World,2050,25--29,Total,633176.5
SSP2,World,2055,25--29,Total,619509.4
SSP2,World,2060,25--29,Total,610295.1
SSP2,World,2065,25--29,Total,604090.1
SSP2,World,2070,25--29,Total,597377.5
SSP2,World,2075,25--29,Total,585311.7
SSP2,World,2080,25--29,Total,568443.2
SSP2,World,2085,25--29,Total,549349.9
SSP2,World,2090,25--29,Total,530966.1
SSP2,World,2095,25--29,Total,514312.7
SSP2,World,2100,25--29,Total,499027.4
SSP2,World,1950,30--34,Total,169083.3
SSP2,World,1955,30--34,Total,189839.5
SSP2,World,1960,30--34,Total,209837.9
SSP2,World,1965,30--34,Total,220822.2
SSP2,World,1970,30--34,Total,238355.5
SSP2,World,1975,30--34,Total,243973.3
SSP2,World,1980,30--34,Total,290356.5
SSP2,World,1985,30--34,Total,354481.2
SSP2,World,1990,30--34,Total,385385
SSP2,World,1995,30--34,Total,436165.4
SSP2,World,2000,30--34,Total,479048.1
SSP2,World,2005,30--34,Total,499243.8
SSP2,World,2010,30--34,Total,508297.4
SSP2,World,2015,30--34,Total,553197.3
SSP2,World,2020,30--34,Total,607272.8
SSP2,World,2025,30--34,Total,591010.8
SSP2,World,2030,30--34,Total,579775.5
SSP2,World,2035,30--34,Total,596598.7
SSP2,World,2040,30--34,Total,625684.1
SSP2,World,2045,30--34,Total,648928.2
SSP2,World,2050,30--34,Total,637680
SSP2,World,2055,30--34,Total,629214.6
SSP2,World,2060,30--34,Total,615842.2
SSP2,World,2065,30--34,Total,606974.2
SSP2,World,2070,30--34,Total,601010.6
SSP2,World,2075,30--34,Total,594629.8
SSP2,World,2080,30--34,Total,582983.3
SSP2,World,2085,30--34,Total,566395.1
SSP2,World,2090,30--34,Total,547597.3
SSP2,World,2095,30--34,Total,529355.7
SSP2,World,2100,30--34,Total,512845
SSP2,World,1950,35--39,Total,164643.4
SSP2,World,1955,35--39,Total,162515.5
SSP2,World,1960,35--39,Total,183505.1
SSP2,World,1965,35--39,Total,203611.5
SSP2,World,1970,35--39,Total,215194.3
SSP2,World,1975,35--39,Total,233886.7
SSP2,World,1980,35--39,Total,239219.7
SSP2,World,1985,35--39,Total,286005
SSP2,World,1990,35--39,Total,349493.1
SSP2,World,1995,35--39,Total,380458.3
SSP2,World,2000,35--39,Total,430401
SSP2,World,2005,35--39,Total,472606.4
SSP2,World,2010,35--39,Total,493924.5
SSP2,World,2015,35--39,Total,500812.2
SSP2,World,2020,35--39,Total,547284.5
SSP2,World,2025,35--39,Total,601298
SSP2,World,2030,35--39,Total,585362.9
SSP2,World,2035,35--39,Total,574365.6
SSP2,World,2040,35--39,Total,591288.9
SSP2,World,2045,35--39,Total,620455.2
SSP2,World,2050,35--39,Total,643851.1
SSP2,World,2055,35--39,Total,632995
SSP2,World,2060,35--39,Total,624917.4
SSP2,World,2065,35--39,Total,611922.4
SSP2,World,2070,35--39,Total,603392.1
SSP2,World,2075,35--39,Total,597767.2
SSP2,World,2080,35--39,Total,591725.1
SSP2,World,2085,35--39,Total,580392.9
SSP2,World,2090,35--39,Total,564118.6
SSP2,World,2095,35--39,Total,545599
SSP2,World,2100,35--39,Total,527626.5
SSP2,World,1950,40--44,Total,147725.4
SSP2,World,1955,40--44,Total,157288.7
SSP2,World,1960,40--44,Total,155470.9
SSP2,World,1965,40--44,Total,176818
SSP2,World,1970,40--44,Total,197846.2
SSP2,World,1975,40--44,Total,210119.2
SSP2,World,1980,40--44,Total,228761.3
SSP2,World,1985,40--44,Total,234554.1
SSP2,World,1990,40--44,Total,281048.1
SSP2,World,1995,40--44,Total,343629.4
SSP2,World,2000,40--44,Total,373696.9
SSP2,World,2005,40--44,Total,422635
SSP2,World,2010,40--44,Total,465530
SSP2,World,2015,40--44,Total,486159
SSP2,World,2020,40--44,Total,494123.7
SSP2,World,2025,40--44,Total,540355
SSP2,World,2030,40--44,Total,594275.6
SSP2,World,2035,40--44,Total,578688.8
SSP2,World,2040,40--44,Total,567980.4
SSP2,World,2045,40--44,Total,585030.3
SSP2,World,2050,40--44,Total,614302.3
SSP2,World,2055,40--44,Total,637895.4
SSP2,World,2060,40--44,Total,627507
SSP2,World,2065,40--44,Total,619887.7
SSP2,World,2070,40--44,Total,607321.2
SSP2,World,2075,40--44,Total,599190.6
SSP2,World,2080,40--44,Total,593962.6
SSP2,World,2085,40--44,Total,588295.6
SSP2,World,2090,40--44,Total,577350.2
SSP2,World,2095,40--44,Total,561433.8
SSP2,World,2100,40--44,Total,543263.9
SSP2,World,1950,45--49,Total,128634.7
SSP2,World,1955,45--49,Total,139101.8
SSP2,World,1960,45--49,Total,149441.6
SSP2,World,1965,45--49,Total,147853.1
SSP2,World,1970,45--49,Total,170376.6
SSP2,World,1975,45--49,Total,191558.5
SSP2,World,1980,45--49,Total,203711.7
SSP2,World,1985,45--49,Total,222341.7
SSP2,World,1990,45--49,Total,228641.1
SSP2,World,1995,45--49,Total,274022.2
SSP2,World,2000,45--49,Total,335795.1
SSP2,World,2005,45--49,Total,364142.9
SSP2,World,2010,45--49,Total,414977.6
SSP2,World,2015,45--49,Total,455886.2
SSP2,World,2020,45--49,Total,477924
SSP2,World,2025,45--49,Total,485893.2
SSP2,World,2030,45--49,Total,531811.6
SSP2,World,2035,45--49,Total,585564.3
SSP2,World,2040,45--49,Total,570427
SSP2,World,2045,45--49,Total,560100.4
SSP2,World,2050,45--49,Total,577318.4
SSP2,World,2055,45--49,Total,606732.5
SSP2,World,2060,45--49,Total,630576.8
SSP2,World,2065,45--49,Total,620764.1
SSP2,World,2070,45--49,Total,613683.8
SSP2,World,2075,45--49,Total,601639.5
SSP2,World,2080,45--49,Total,593990.3
SSP2,World,2085,45--49,Total,589224.2
SSP2,World,2090,45--49,Total,584038.9
SSP2,World,2095,45--49,Total,573557.7
SSP2,World,2100,45--49,Total,558097.8
SSP2,World,1950,50--54,Total,107857.8
SSP2,World,1955,50--54,Total,120362.6
SSP2,World,1960,50--54,Total,130677.1
SSP2,World,1965,50--54,Total,140418.1
SSP2,World,1970,50--54,Total,139999.6
SSP2,World,1975,50--54,Total,163037.7
SSP2,World,1980,50--54,Total,183720.2
SSP2,World,1985,50--54,Total,195805.2
SSP2,World,1990,50--54,Total,214375.8
SSP2,World,1995,50--54,Total,220840.3
SSP2,World,2000,50--54,Total,265288.3
SSP2,World,2005,50--54,Total,325323.5
SSP2,World,2010,50--54,Total,354558.1
SSP2,World,2015,50--54,Total,403225
SSP2,World,2020,50--54,Total,445165.5
SSP2,World,2025,50--54,Total,467058.1
SSP2,World,2030,50--54,Total,475047.9
SSP2,World,2035,50--54,Total,520531
SSP2,World,2040,50--54,Total,574038.9
SSP2,World,2045,50--54,Total,559530.7
SSP2,World,2050,50--54,Total,549727.9
SSP2,World,2055,50--54,Total,567173.5
SSP2,World,2060,50--54,Total,596772
SSP2,World,2065,50--54,Total,620943.4
SSP2,World,2070,50--54,Total,611866.3
SSP2,World,2075,50--54,Total,605480.1
SSP2,World,2080,50--54,Total,594096.2
SSP2,World,2085,50--54,Total,587044.2
SSP2,World,2090,50--54,Total,582907
SSP2,World,2095,50--54,Total,578342.1
SSP2,World,2100,50--54,Total,568487.6
SSP2,World,1950,55--59,Total,88801.6
SSP2,World,1955,55--59,Total,97780.6
SSP2,World,1960,55--59,Total,109717.7
SSP2,World,1965,55--59,Total,120167.3
SSP2,World,1970,55--59,Total,130857.4
SSP2,World,1975,55--59,Total,130964
SSP2,World,1980,55--59,Total,153697.4
SSP2,World,1985,55--59,Total,173411.8
SSP2,World,1990,55--59,Total,185655.4
SSP2,World,1995,55--59,Total,203556.8
SSP2,World,2000,55--59,Total,210310.4
SSP2,World,2005,55--59,Total,254221.7
SSP2,World,2010,55--59,Total,312313.6
SSP2,World,2015,55--59,Total,340211.9
SSP2,World,2020,55--59,Total,389090.7
SSP2,World,2025,55--59,Total,430585
SSP2,World,2030,55--59,Total,452314
SSP2,World,2035,55--59,Total,460405
SSP2,World,2040,55--59,Total,505325.8
SSP2,World,2045,55--59,Total,558491.2
SSP2,World,2050,55--59,Total,544882.4
SSP2,World,2055,55--59,Total,535812.9
SSP2,World,2060,55--59,Total,553575.1
SSP2,World,2065,55--59,Total,583424
SSP2,World,2070,55--59,Total,608017.1
SSP2,World,2075,55--59,Total,599908.3
SSP2,World,2080,55--59,Total,594416.8
SSP2,World,2085,55--59,Total,583888.3
SSP2,World,2090,55--59,Total,577672.9
SSP2,World,2095,55--59,Total,574383.5
SSP2,World,2100,55--59,Total,570658.2
SSP2,World,1950,60--64,Total,73548.4
SSP2,World,1955,60--64,Total,77192.6
SSP2,World,1960,60--64,Total,85488.7
SSP2,World,1965,60--64,Total,96508.2
SSP2,World,1970,60--64,Total,108029.7
SSP2,World,1975,60--64,Total,118555.7
SSP2,World,1980,60--64,Total,119739.3
SSP2,World,1985,60--64,Total,141006.7
SSP2,World,1990,60--64,Total,160043.9
SSP2,World,1995,60--64,Total,171878.2
SSP2,World,2000,60--64,Total,189066.5
SSP2,World,2005,60--64,Total,196589.5
SSP2,World,2010,60--64,Total,238150.2
SSP2,World,2015,60--64,Total,294095.8
SSP2,World,2020,60--64,Total,321748.4
SSP2,World,2025,60--64,Total,369303.9
SSP2,World,2030,60--64,Total,410062.6
SSP2,World,2035,60--64,Total,431680.1
SSP2,World,2040,60--64,Total,440084.2
SSP2,World,2045,60--64,Total,484274.3
SSP2,World,2050,60--64,Total,536957.5
SSP2,World,2055,60--64,Total,524678.2
SSP2,World,2060,60--64,Total,516664.2
SSP2,World,2065,60--64,Total,534875.6
SSP2,World,2070,60--64,Total,565069.5
SSP2,World,2075,60--64,Total,590250.5
SSP2,World,2080,60--64,Total,583438.3
SSP2,World,2085,60--64,Total,579181
SSP2,World,2090,60--64,Total,569890.4
SSP2,World,2095,60--64,Total,564855.4
SSP2,World,2100,60--64,Total,562722.2
SSP2,World,1950,65--69,Total,55207.3
