Entity,Code,Death magnitude (PITF)
Afghanistan,AFG,3
Algeria,DZA,3.5
Angola,AGO,3.5
Argentina,ARG,1.5
Bosnia and Herzegovina,BIH,4
Burundi,BDI,3.5
Cambodia,KHM,5
Central African Republic,CAF,1
Chile,CHL,2
China,CHN,4.5
Democratic Republic of Congo,COD,2
El Salvador,SLV,2.5
Equatorial Guinea,GNQ,2
Ethiopia,ETH,1
Guatemala,GTM,0.5
Indonesia,IDN,5
Iran,IRN,1.5
Iraq,IRQ,4
Myanmar,MMR,2
Nigeria,NGA,4
Pakistan,PAK,5
Philippines,PHL,2
Rwanda,RWA,5
Somalia,SOM,3
Sri Lanka,LKA,3
Sudan,SDN,4
Syria,SYR,2.5
Uganda,UGA,3.5
Vietnam,VNM,3.5
Yugoslavia,OWID_YGS,1
