"wd_id","status","variable","value_old","value_new"
"Q30","MODvalue","NAME_AR","الولايات المتحدة الأمريكية","الولايات المتحدة"
"Q223","MODvalue","NAME_AR","غرينلاند","جرينلاند"
"Q129003","NEWvalue","NAME_AR","","أراض فرنسية جنوبية وأنتارتيكية"
"Q129003","NEWvalue","NAME_DE","","Französische Süd- und Antarktisgebiete"
"Q129003","NEWvalue","NAME_EN","","French Southern and Antarctic Lands"
"Q129003","NEWvalue","NAME_ES","","Tierras Australes y Antárticas Francesas"
"Q129003","NEWvalue","NAME_FR","","Terres australes et antarctiques françaises"
"Q129003","NEWvalue","NAME_EL","","Γαλλικά Νότια και Ανταρκτικά Εδάφη"
"Q129003","NEWvalue","NAME_HI","","दक्षिण फ्रांसीसी और अंटार्कटिक लैंड"
"Q129003","NEWvalue","NAME_HU","","Francia déli és antarktiszi területek"
"Q129003","NEWvalue","NAME_ID","","Daratan Selatan dan Antarktika Perancis"
"Q129003","NEWvalue","NAME_IT","","Terre australi e antartiche francesi"
"Q129003","NEWvalue","NAME_JA","","フランス領南方・南極地域"
"Q129003","NEWvalue","NAME_KO","","프랑스령 남방 및 남극"
"Q129003","NEWvalue","NAME_NL","","Franse Zuidelijke en Antarctische Gebieden"
"Q129003","NEWvalue","NAME_PL","","Francuskie Terytoria Południowe i Antarktyczne"
"Q129003","NEWvalue","NAME_PT","","Terras Austrais e Antárticas Francesas"
"Q129003","NEWvalue","NAME_RU","","Французские Южные и Антарктические территории"
"Q129003","NEWvalue","NAME_SV","","Franska sydterritorierna"
"Q129003","NEWvalue","NAME_TR","","Fransız Güney ve Antarktika Toprakları"
"Q129003","NEWvalue","NAME_VI","","Vùng đất phía Nam và châu Nam Cực thuộc Pháp"
"Q129003","NEWvalue","NAME_ZH","","法属南部领地"
"Q419","NEWvalue","NAME_AR","","بيرو"
"Q419","NEWvalue","NAME_BN","","পেরু"
"Q419","NEWvalue","NAME_DE","","Peru"
"Q419","NEWvalue","NAME_EN","","Peru"
"Q419","NEWvalue","NAME_ES","","Perú"
"Q419","NEWvalue","NAME_FR","","Pérou"
"Q419","NEWvalue","NAME_EL","","Περού"
"Q419","NEWvalue","NAME_HI","","पेरू"
"Q419","NEWvalue","NAME_HU","","Peru"
"Q419","NEWvalue","NAME_ID","","Peru"
"Q419","NEWvalue","NAME_IT","","Perù"
"Q419","NEWvalue","NAME_JA","","ペルー"
"Q419","NEWvalue","NAME_KO","","페루"
"Q419","NEWvalue","NAME_NL","","Peru"
"Q419","NEWvalue","NAME_PL","","Peru"
"Q419","NEWvalue","NAME_PT","","Peru"
"Q419","NEWvalue","NAME_RU","","Перу"
"Q419","NEWvalue","NAME_SV","","Peru"
"Q419","NEWvalue","NAME_TR","","Peru"
"Q419","NEWvalue","NAME_VI","","Peru"
"Q419","NEWvalue","NAME_ZH","","秘鲁"
"Q736","MODvalue","NAME_EL","Ισημερινός","Εκουαδόρ"
"Q983","NEWvalue","NAME_AR","","غينيا الاستوائية"
"Q983","NEWvalue","NAME_BN","","বিষুবীয় গিনি"
"Q983","NEWvalue","NAME_DE","","Äquatorialguinea"
"Q983","NEWvalue","NAME_EN","","Equatorial Guinea"
"Q983","NEWvalue","NAME_ES","","Guinea Ecuatorial"
"Q983","NEWvalue","NAME_FR","","Guinée équatoriale"
"Q983","NEWvalue","NAME_EL","","Ισημερινή Γουινέα"
"Q983","NEWvalue","NAME_HI","","भूमध्यरेखीय गिनी"
"Q983","NEWvalue","NAME_HU","","Egyenlítői-Guinea"
"Q983","NEWvalue","NAME_ID","","Guinea Khatulistiwa"
"Q983","NEWvalue","NAME_IT","","Guinea Equatoriale"
"Q983","NEWvalue","NAME_JA","","赤道ギニア"
"Q983","NEWvalue","NAME_KO","","적도 기니"
"Q983","NEWvalue","NAME_NL","","Equatoriaal-Guinea"
"Q983","NEWvalue","NAME_PL","","Gwinea Równikowa"
"Q983","NEWvalue","NAME_PT","","Guiné Equatorial"
