"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q61","","658893","واشنطن العاصمة","ওয়াশিংটন","Washington","Washington","Washington D. C.","Washington","Ουάσινγκτον","वॉशिंगटन डी॰ सी॰","Washington","Washington","Washington","ワシントンD.C.","워싱턴 D.C.","Washington D.C.","Waszyngton","Washington","Вашингтон","Washington","Washington","Washington","華盛頓哥倫比亞特區"
"Q99","","39144818","كاليفورنيا","ক্যালিফোর্নিয়া","Kalifornien","California","California","Californie","Καλιφόρνια","कैलिफ़ोर्निया","Kalifornia","California","California","カリフォルニア州","캘리포니아주","Californië","Kalifornia","Califórnia","Калифорния","Kalifornien","Kaliforniya","California","加利福尼亚州"
"Q173","","4779736","ألاباما","অ্যালাবামা","Alabama","Alabama","Alabama","Alabama","Αλαμπάμα","अलाबामा","Alabama","Alabama","Alabama","アラバマ州","앨라배마주","Alabama","Alabama","Alabama","Алабама","Alabama","Alabama","Alabama","亚拉巴马州"
"Q724","","1328361","مين","মেইন","Maine","Maine","Maine","Maine","Μέιν","मेन","Maine","Maine","Maine","メイン州","메인 주","Maine","Maine","Maine","Мэн","Maine","Maine","Maine","缅因州"
"Q759","","1330608","نيوهامشير","নিউ হ্যাম্প্‌শায়ার","New Hampshire","New Hampshire","Nuevo Hampshire","New Hampshire","Νιου Χάμσαϊρ","नया हेम्पशायर","New Hampshire","New Hampshire","New Hampshire","ニューハンプシャー州","뉴햄프셔 주","New Hampshire","New Hampshire","Nova Hampshire","Нью-Гэмпшир","New Hampshire","New Hampshire","New Hampshire","新罕布什尔州"
"Q771","","6794422","ماساتشوستس","ম্যাসাচুসেট্‌স","Massachusetts","Massachusetts","Massachusetts","Massachusetts","Μασαχουσέτη","मैसाचूसिट्स","Massachusetts","Massachusetts","Massachusetts","マサチューセッツ州","매사추세츠 주","Massachusetts","Massachusetts","Massachusetts","Массачусетс","Massachusetts","Massachusetts","Massachusetts","麻薩諸塞州"
"Q782","","1404054","هاواي","হাওয়াই","Hawaii","Hawaii","Hawái","Hawaï","Χαβάη","हवाई","Hawaii","Hawaii","Hawaii","ハワイ州","하와이주","Hawaï","Hawaje","Havaí","Гавайи","Hawaii","Hawaii","Hawaii","夏威夷州"
"Q779","","3590886","كونيتيكت","কানেটিকাট","Connecticut","Connecticut","Connecticut","Connecticut","Κονέκτικατ","कनेक्टिकट","Connecticut","Connecticut","Connecticut","コネチカット州","코네티컷 주","Connecticut","Connecticut","Connecticut","Коннектикут","Connecticut","Connecticut","Connecticut","康乃狄克州"
"Q797","","710231","ألاسكا","আলাস্কা","Alaska","Alaska","Alaska","Alaska","Αλάσκα","अलास्का","Alaszka","Alaska","Alaska","アラスカ州","알래스카주","Alaska","Alaska","Alasca","Аляска","Alaska","Alaska","Alaska","阿拉斯加州"
"Q812","","20271272","فلوريدا","ফ্লোরিডা","Florida","Florida","Florida","Floride","Φλόριντα","फ़्लोरिडा","Florida","Florida","Florida","フロリダ州","플로리다주","Florida","Floryda","Flórida","Флорида","Florida","Florida","Florida","佛罗里达州"
"Q816","","6828065","أريزونا","অ্যারিজোনা","Arizona","Arizona","Arizona","Arizona","Αριζόνα","एरीजोना","Arizona","Arizona","Arizona","アリゾナ州","애리조나주","Arizona","Arizona","Arizona","Аризона","Arizona","Arizona","Arizona","亞利桑那州"
"Q824","","4028977","أوريغون","অরেগন","Oregon","Oregon","Oregón","Oregon","Όρεγκον","औरिगन","Oregon","Oregon","Oregon","オレゴン州","오리건 주","Oregon","Oregon","Oregon","Орегон","Oregon","Oregon","Oregon","俄勒冈州"
"Q829","","2763885","يوتا","ইউটা","Utah","Utah","Utah","Utah","Γιούτα","यूटाह","Utah","Utah","Utah","ユタ州","유타 주","Utah","Utah","Utah","Юта","Utah","Utah","Utah","犹他州"
"Q1166","","9922576","ميشيغان","মিশিগান","Michigan","Michigan","Míchigan","Michigan","Μίσιγκαν","मिशिगन","Michigan","Michigan","Michigan","ミシガン州","미시간 주","Michigan","Michigan","Michigan","Мичиган","Michigan","Michigan","Michigan","密歇根州"
"Q1204","","12859995","إلينوي","ইলিনয়","Illinois","Illinois","Illinois","Illinois","Ιλινόι","इलिनॉय","Illinois","Illinois","Illinois","イリノイ州","일리노이 주","Illinois","Illinois","Illinois","Иллинойс","Illinois","Illinois","Illinois","伊利诺伊州"
"Q1207","","756927","داكوتا الشمالية","নর্থ ডাকোটা","North Dakota","North Dakota","Dakota del Norte","Dakota du Nord","Βόρεια Ντακότα","उत्तर डेकोटा","Észak-Dakota","Dakota Utara","Dakota del Nord","ノースダコタ州","노스다코타주","North Dakota","Dakota Północna","Dakota do Norte","Северная Дакота","North Dakota","Kuzey Dakota","Bắc Dakota","北达科他州"
"Q1211","","606000","داكوتا الجنوبية","সাউথ ডাকোটা","South Dakota","South Dakota","Dakota del Sur","Dakota du Sud","Νότια Ντακότα","दक्षिण डकोटा","Dél-Dakota","Dakota Selatan","Dakota del Sud","サウスダコタ州","사우스다코타주","South Dakota","Dakota Południowa","Dakota do Sul","Южная Дакота","South Dakota","Güney Dakota","Nam Dakota","南达科他州"
"Q1212","","1032949","مونتانا","মন্টানা","Montana","Montana","Montana","Montana","Μοντάνα","मोन्टाना","Montana","Montana","Montana","モンタナ州","몬태나주","Montana","Montana","Montana","Монтана","Montana","Montana","Montana","蒙大拿州"
"Q1214","","586107","وايومنغ","ওয়াইয়োমিং","Wyoming","Wyoming","Wyoming","Wyoming","Ουαϊόμινγκ","वायोमिंग","Wyoming","Wyoming","Wyoming","ワイオミング州","와이오밍주","Wyoming","Wyoming","Wyoming","Вайоминг","Wyoming","Wyoming","Wyoming","怀俄明州"
"Q1221","","1654930","أيداهو","আইডাহো","Idaho","Idaho","Idaho","Idaho","Αϊντάχο","आयडाहो","Idaho","Idaho","Idaho","アイダホ州","아이다호주","Idaho","Idaho","Idaho","Айдахо","Idaho","Idaho","Idaho","爱达荷州"
"Q1223","","7170351","واشنطن","ওয়াশিংটন","Washington","Washington","Washington","État de Washington","Ουάσινγκτον","वाशिंगटन","Washington","Washington","Washington","ワシントン州","워싱턴주","Washington","Waszyngton","Washington","Вашингтон","Washington","Vaşington","Washington","华盛顿州"
