"wd_id","status","variable","value_old","value_new"
"Q1212","MODvalue","name_ko","몬태나 주","몬태나주"
"Q1207","MODvalue","name_ko","노스다코타 주","노스다코타주"
"Q782","MODvalue","name_ko","하와이 주","하와이주"
"Q1221","MODvalue","name_ko","아이다호 주","아이다호주"
"Q1223","MODvalue","name_ko","워싱턴 주","워싱턴주"
"Q816","MODvalue","name_ko","애리조나 주","애리조나주"
"Q99","MODvalue","name_ko","캘리포니아 주","캘리포니아주"
"Q1227","MODvalue","name_ko","네바다 주","네바다주"
"Q1522","MODvalue","name_ko","뉴멕시코 주","뉴멕시코주"
"Q1214","MODvalue","name_ko","와이오밍 주","와이오밍주"
"Q1649","MODvalue","name_ko","오클라호마 주","오클라호마주"
"Q1211","MODvalue","name_ko","사우스다코타 주","사우스다코타주"
"Q1387","MODvalue","name_ko","로드아일랜드 주","로드아일랜드주"
"Q173","MODvalue","name_ko","앨라배마 주","앨라배마주"
"Q812","MODvalue","name_ko","플로리다 주","플로리다주"
"Q1428","MODvalue","name_ko","조지아 주","조지아주"
"Q1494","MODvalue","name_ko","미시시피 주","미시시피주"
"Q1456","MODvalue","name_ko","사우스캐롤라이나 주","사우스캐롤라이나주"
"Q1454","MODvalue","name_ko","노스캐롤라이나 주","노스캐롤라이나주"
"Q1371","MODvalue","name_ko","웨스트버지니아 주","웨스트버지니아주"
"Q1384","MODvalue","name_vi","Tiểu bang New York","New York"
"Q1400","MODvalue","name_el","Πενσυλβάνια","Πενσιλβανία"
"Q1400","MODvalue","name_ko","펜실베이니아 주","펜실베이니아주"
"Q797","MODvalue","name_ko","알래스카 주","알래스카주"
