"shapefilename","var","value"
"./110m_physical/ne_110m_lakes.shp","New_name","2"
"./110m_physical/ne_110m_lakes.shp","Deleted_name","0"
"./110m_physical/ne_110m_lakes.shp","Modified_name","0"
"./110m_physical/ne_110m_lakes.shp","Empty_name","54"
"./110m_physical/ne_110m_lakes.shp","Same_name","469"
"./110m_physical/ne_110m_lakes.shp","Wikidataid_redirected","0"
"./110m_physical/ne_110m_lakes.shp","Wikidataid_notfound","0"
"./110m_physical/ne_110m_lakes.shp","Wikidataid_null","0"
"./110m_physical/ne_110m_lakes.shp","Wikidataid_notnull","25"
"./110m_physical/ne_110m_lakes.shp","Wikidataid_badformated","0"
