"wd_id","status","variable","value_old","value_new"
"Q45403","NEWvalue","name_ar","","نهر براهمابوترا"
"Q45403","NEWvalue","name_bn","","ব্রহ্মপুত্র নদ"
"Q45403","NEWvalue","name_de","","Brahmaputra"
"Q45403","NEWvalue","name_es","","Brahmaputra"
"Q45403","NEWvalue","name_fr","","Brahmapoutre"
"Q45403","NEWvalue","name_el","","Βραχμαπούτρας"
"Q45403","NEWvalue","name_hi","","ब्रह्मपुत्र नदी"
"Q45403","NEWvalue","name_hu","","Brahmaputra"
"Q45403","NEWvalue","name_id","","Sungai Brahmaputra"
"Q45403","NEWvalue","name_it","","Brahmaputra"
"Q45403","NEWvalue","name_ja","","ブラマプトラ川"
"Q45403","NEWvalue","name_ko","","브라마푸트라 강"
"Q45403","NEWvalue","name_nl","","Brahmaputra"
"Q45403","MODvalue","name_pl","Yarlung","Brahmaputra"
"Q45403","NEWvalue","name_pt","","Rio Bramaputra"
"Q45403","NEWvalue","name_ru","","Брахмапутра"
"Q45403","NEWvalue","name_sv","","Brahmaputra"
"Q45403","NEWvalue","name_tr","","Brahmaputra Nehri"
"Q45403","NEWvalue","name_vi","","Brahmaputra"
"Q45403","NEWvalue","name_zh","","布拉马普特拉河"
"Q41179","MODvalue","name_es","Mekong River","Mekong"
"Q41179","MODvalue","name_fr","Mekong","Mékong"
"Q41179","MODvalue","name_el","Mékong","Μεκόνγκ"
"Q41179","MODvalue","name_hi","Μεκόνγκ","मीकांग नदी"
"Q41179","MODvalue","name_hu","मीकांग नदी","Mekong"
"Q41179","MODvalue","name_ja","Mekong","メコン川"
"Q41179","MODvalue","name_ko","メコン川","메콩 강"
"Q41179","MODvalue","name_nl","메콩 강","Mekong"
"Q41179","MODvalue","name_pt","Mekong","Rio Mekong"
"Q41179","MODvalue","name_ru","Rio Mekong","Меконг"
"Q41179","MODvalue","name_sv","Меконг","Mekong"
"Q41179","MODvalue","name_vi","Mekong","Mê Kông"
"Q41179","MODvalue","name_zh","Mê Kông","湄公河"
"Q973","MODvalue","name_es","Ob","Obi"
"Q973","MODvalue","name_fr","Obi","Ob"
"Q973","MODvalue","name_el","Ob","Ομπ"
"Q973","MODvalue","name_hi","Ομπ","ओब नदी"
"Q973","MODvalue","name_hu","ओब नदी","Ob"
"Q973","MODvalue","name_id","Ob","Sungai Ob"
"Q973","MODvalue","name_it","Sungai Ob","Ob'"
"Q973","MODvalue","name_ja","Ob'","オビ川"
"Q973","MODvalue","name_ko","オビ川","오비 강"
