"shapefilename","var","value"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","New_name","41"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Deleted_name","3"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Modified_name","172"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Empty_name","6"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Same_name","51"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Wikidataid_redirected","0"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Wikidataid_notfound","0"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Wikidataid_null","0"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Wikidataid_notnull","13"
"./110m_physical/ne_110m_rivers_lake_centerlines.shp","Wikidataid_badformated","0"
