year,lake,species,grand_total,comments,region,values
1991,Erie,American Eel,1.0,,Michigan (MI),0.0
1991,Erie,American Eel,1.0,,New York (NY),0.0
1991,Erie,American Eel,1.0,,Ohio (OH),0.0
1991,Erie,American Eel,1.0,,Pennsylvania (PA),0.0
1991,Erie,American Eel,1.0,,U.S. Total,0.0
1991,Erie,American Eel,1.0,,Canada (ONT),1.0
1992,Erie,American Eel,0.0,,Michigan (MI),0.0
1992,Erie,American Eel,0.0,,New York (NY),0.0
1992,Erie,American Eel,0.0,,Ohio (OH),0.0
1992,Erie,American Eel,0.0,,Pennsylvania (PA),0.0
1992,Erie,American Eel,0.0,,U.S. Total,0.0
1992,Erie,American Eel,0.0,,Canada (ONT),0.0
1993,Erie,American Eel,0.0,,Michigan (MI),0.0
1993,Erie,American Eel,0.0,,New York (NY),0.0
1993,Erie,American Eel,0.0,,Ohio (OH),0.0
1993,Erie,American Eel,0.0,,Pennsylvania (PA),0.0
1993,Erie,American Eel,0.0,,U.S. Total,0.0
1993,Erie,American Eel,0.0,,Canada (ONT),0.0
1994,Erie,American Eel,0.0,,Michigan (MI),0.0
1994,Erie,American Eel,0.0,,New York (NY),0.0
1994,Erie,American Eel,0.0,,Ohio (OH),0.0
1994,Erie,American Eel,0.0,,Pennsylvania (PA),0.0
1994,Erie,American Eel,0.0,,U.S. Total,0.0
1994,Erie,American Eel,0.0,,Canada (ONT),0.0
1995,Erie,American Eel,0.0,,Michigan (MI),0.0
1995,Erie,American Eel,0.0,,New York (NY),0.0
1995,Erie,American Eel,0.0,,Ohio (OH),0.0
1995,Erie,American Eel,0.0,,Pennsylvania (PA),0.0
1995,Erie,American Eel,0.0,,U.S. Total,0.0
1995,Erie,American Eel,0.0,,Canada (ONT),0.0
1996,Erie,American Eel,0.0,,Michigan (MI),0.0
1996,Erie,American Eel,0.0,,New York (NY),0.0
1996,Erie,American Eel,0.0,,Ohio (OH),0.0
1996,Erie,American Eel,0.0,,Pennsylvania (PA),0.0
1996,Erie,American Eel,0.0,,U.S. Total,0.0
1996,Erie,American Eel,0.0,,Canada (ONT),0.0
1997,Erie,American Eel,0.0,,Michigan (MI),0.0
1997,Erie,American Eel,0.0,,New York (NY),0.0
1997,Erie,American Eel,0.0,,Ohio (OH),0.0
1997,Erie,American Eel,0.0,,Pennsylvania (PA),0.0
1997,Erie,American Eel,0.0,,U.S. Total,0.0
1997,Erie,American Eel,0.0,,Canada (ONT),0.0
1998,Erie,American Eel,0.0,,Michigan (MI),0.0
1998,Erie,American Eel,0.0,,New York (NY),0.0
1998,Erie,American Eel,0.0,,Ohio (OH),0.0
1998,Erie,American Eel,0.0,,Pennsylvania (PA),0.0
1998,Erie,American Eel,0.0,,U.S. Total,0.0
1998,Erie,American Eel,0.0,,Canada (ONT),0.0
